datum,track_id,stabilna_klasa,traka,prva_linija,druga_linija,vrijeme_prve_linije,vrijeme_druge_linije,trajanje_s,status
2026-09-18,7,car,Traka 1,L1,L2,2026-09-18 08:34:46.274,2026-09-18 08:34:46.409,0.135,ISPRAVAN SMJER
2026-09-18,25,car,Traka 1,L1,L2,2026-09-18 08:34:50.888,2026-09-18 08:34:51.020,0.133,ISPRAVAN SMJER
2026-09-18,32,truck,Traka 1,L1,L2,2026-09-18 08:35:11.084,2026-09-18 08:35:11.236,0.152,ISPRAVAN SMJER
2026-09-18,39,car,Traka 2,L1,L2,2026-09-18 08:35:20.413,2026-09-18 08:35:20.645,0.232,ISPRAVAN SMJER
2026-09-18,43,car,Traka 2,L1,L2,2026-09-18 08:35:32.925,2026-09-18 08:35:33.156,0.231,ISPRAVAN SMJER
